sampleID	MO18_001	MO18_002	MO18_003	MO18_004	MO18_005	MO18_006	MO18_007	MO18_008	MO18_009	MO18_010	MO18_011	MO18_012	MO18_013	MO18_014	MO18_015	MO18_016	MO18_020	MO18_024	MO18_028	MO18_032	MO18_033	MO18_034	MO18_035	MO18_036	MO18_037	MO18_038	MO18_039	MO18_040	MO18_041	MO18_042	MO18_043	MO18_044	MO18_045	MO18_046	MO18_047	MO18_048	MO18_052	MO18_056	MO18_060	MO18_064	MO18_065	MO18_066	MO18_067	MO18_068	MO18_069	MO18_070	MO18_071	MO18_072	MO18_073	MO18_074	MO18_075	MO18_076	MO18_077	MO18_078	MO18_079	MO18_080	MO18_082	MO18_084	MO18_086	MO18_088	MO18_090	MO18_092	MO18_094	MO18_096	MO18_097	MO18_098	MO18_099	MO18_100	MO18_101	MO18_102	MO18_103	MO18_104	MO18_105	MO18_106	MO18_107	MO18_108	MO18_109	MO18_110	MO18_111	MO18_112	MO18_116	MO18_120	MO18_124	MO18_128	MO18_129	MO18_130	MO18_131	MO18_132	MO18_133	MO18_134	MO18_135	MO18_136	MO18_137	MO18_139	MO18_140	MO18_141	MO18_142	MO18_143	MO18_144	MO18_148	MO18_152	MO18_156	MO18_160	MO18_193	MO18_194	MO18_195	MO18_196	MO18_197	MO18_198	MO18_199	MO18_200	MO18_201	MO18_202	MO18_203	MO18_204	MO18_205	MO18_206	MO18_207	MO18_208	MO18_212	MO18_216	MO18_220	MO18_224	MO18_225	MO18_226	MO18_227	MO18_228	MO18_229	MO18_230	MO18_231	MO18_232	MO18_233	MO18_234	MO18_235	MO18_236	MO18_237	MO18_238	MO18_239	MO18_240	MO18_244	MO18_248	MO18_252	MO18_256
MO18_075	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	0.70711	0.55902	0.5	0.55902	0.55902	0.35355	0.25	0.35355	0.5	0.25	0	0.25	0.55902	0.35355	0.25	0.35355	2	4	2	4	2	4	2	4	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505
MO18_076	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	0.90139	0.70711	0.55902	0.5	0.79057	0.55902	0.35355	0.25	0.75	0.5	0.25	0	0.79057	0.55902	0.35355	0.25	2	4	2	4	2	4	2	4	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505
MO18_077	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	0.75	0.79057	0.90139	1.06066	0.5	0.55902	0.70711	0.90139	0.25	0.35355	0.55902	0.79057	0	0.25	0.5	0.75	2	4	2	4	2	4	2	4	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505
MO18_078	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	0.79057	0.75	0.79057	0.90139	0.55902	0.5	0.55902	0.70711	0.35355	0.25	0.35355	0.55902	0.25	0	0.25	0.5	2	4	2	4	2	4	2	4	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505
MO18_079	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	0.90139	0.79057	0.75	0.79057	0.70711	0.55902	0.5	0.55902	0.55902	0.35355	0.25	0.35355	0.5	0.25	0	0.25	2	4	2	4	2	4	2	4	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505
MO18_080	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	1.06066	0.90139	0.79057	0.75	0.90139	0.70711	0.55902	0.5	0.79057	0.55902	0.35355	0.25	0.75	0.5	0.25	0	2	4	2	4	2	4	2	4	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505
MO18_082	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	3.54	5.14782	4	7	3.54	5.14782	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505
MO18_084	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	0	5.14782	6.36396	7	9	5.14782	6.36396	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505
MO18_086	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3.54	5.14782	0	2	3.54	5.14782	4	7	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505
MO18_088	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5.14782	6.36396	2	0	5.14782	6.36396	7	9	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505
MO18_090	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	7	3.54	5.14782	0	2	3.54	5.14782	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505
MO18_092	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	7	9	5.14782	6.36396	2	0	5.14782	6.36396	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505
MO18_094	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3.54	5.14782	4	7	3.54	5.14782	0	2	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505
MO18_096	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5.14782	6.36396	7	9	5.14782	6.36396	2	0	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	3575.431713	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	520.4506869	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	1119.280023	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505	194.4511505
